user_age,user_experience_num,user_goal_num,user_pref_time,user_equipment_num,user_lifestyle_load_num,energy_level,readiness_level,today_available_time,today_academic_load_num,workouts_completed_7d,workouts_skipped_7d,completion_rate_7d,current_streak_days,avg_completed_duration,too_difficult_freq,workout_duration,workout_difficulty_num,workout_goal_num,workout_intensity_num,workout_equipment_num,workout_recovery_demand,time_delta_mins,goal_matched,equipment_feasible,difficulty_matched,suitability_score,successful_completion,workout_id,dataset_type
21,1,4,20,1,3,2,2,20,3,0,4,0.0,1,25.0,0.0,15,1,3,2,1,2,5,1.0,1.0,1.0,0.8248,1,W001,DEVELOPMENT_SYNTHETIC
18,1,5,45,1,3,5,2,20,3,5,4,0.5555555555555556,6,15.0,0.4,25,3,3,3,2,4,5,0.0,0.0,0.0,0.05,0,W010,DEVELOPMENT_SYNTHETIC
23,1,1,30,1,3,3,2,10,3,6,2,0.75,1,12.0,0.4,20,2,5,3,2,4,10,0.0,0.0,0.0,0.1824,0,W002,DEVELOPMENT_SYNTHETIC
25,2,1,10,3,2,5,1,45,2,0,4,0.0,4,20.0,0.1,20,2,5,3,2,4,25,0.0,1.0,1.0,0.2762,0,W002,DEVELOPMENT_SYNTHETIC
21,3,5,10,1,2,1,4,15,2,3,2,0.6,2,20.0,0.25,25,2,4,3,1,4,10,0.0,1.0,1.0,0.2383,0,W004,DEVELOPMENT_SYNTHETIC
20,2,4,10,3,3,5,2,10,3,3,3,0.5,4,15.0,0.25,15,1,3,2,1,2,5,1.0,1.0,1.0,0.7883,1,W001,DEVELOPMENT_SYNTHETIC
19,1,3,20,2,2,2,5,20,2,2,1,0.6666666666666666,10,25.0,0.4,15,2,5,2,2,3,5,0.0,1.0,0.0,0.729,1,W008,DEVELOPMENT_SYNTHETIC
26,2,3,45,1,1,3,5,45,1,4,3,0.5714285714285714,5,15.0,0.1,10,1,1,2,1,2,35,0.0,1.0,1.0,0.2384,0,W009,DEVELOPMENT_SYNTHETIC
20,1,2,15,1,1,4,5,15,1,3,3,0.5,9,25.0,0.25,10,1,1,2,1,2,5,0.0,1.0,1.0,0.6265,1,W009,DEVELOPMENT_SYNTHETIC
22,3,5,45,3,1,3,1,30,1,3,1,0.75,7,12.0,0.25,10,1,1,2,1,2,20,0.0,1.0,1.0,0.2271,0,W009,DEVELOPMENT_SYNTHETIC
26,3,3,20,1,3,5,2,10,3,2,1,0.6666666666666666,8,12.0,0.25,15,2,5,2,2,3,5,0.0,0.0,1.0,0.2268,0,W008,DEVELOPMENT_SYNTHETIC
18,1,5,15,2,2,2,5,10,2,0,3,0.0,1,15.0,0.1,15,2,5,2,2,3,5,1.0,1.0,0.0,0.7767,1,W008,DEVELOPMENT_SYNTHETIC
24,1,6,45,2,3,2,5,20,3,5,1,0.8333333333333334,11,20.0,0.4,30,3,6,3,3,5,10,1.0,0.0,0.0,0.05,0,W006,DEVELOPMENT_SYNTHETIC
21,3,2,15,2,1,1,3,10,1,4,4,0.5,3,15.0,0.0,20,2,5,3,2,4,10,0.0,1.0,1.0,0.1543,0,W002,DEVELOPMENT_SYNTHETIC
18,3,4,10,1,1,3,1,20,1,2,3,0.4,3,15.0,0.4,25,2,4,3,1,4,5,1.0,1.0,1.0,0.7138,1,W004,DEVELOPMENT_SYNTHETIC
24,2,2,10,1,1,3,4,45,1,3,0,1.0,10,12.0,0.0,20,2,4,2,2,3,25,0.0,0.0,1.0,0.05,0,W007,DEVELOPMENT_SYNTHETIC
21,2,4,15,1,1,5,4,20,1,3,1,0.75,4,25.0,0.1,20,2,5,3,2,4,0,0.0,0.0,1.0,0.2994,0,W002,DEVELOPMENT_SYNTHETIC
18,3,2,45,1,1,1,2,10,1,3,3,0.5,7,15.0,0.4,15,1,3,2,1,2,5,0.0,1.0,1.0,0.6657,1,W001,DEVELOPMENT_SYNTHETIC
25,2,3,20,1,2,3,4,45,2,1,1,0.5,4,15.0,0.0,25,3,3,3,2,4,20,1.0,0.0,0.0,0.05,0,W010,DEVELOPMENT_SYNTHETIC
18,3,4,20,1,3,1,5,15,3,4,4,0.5,2,12.0,0.0,15,1,2,1,1,1,0,0.0,1.0,1.0,0.8794,1,W003,DEVELOPMENT_SYNTHETIC
24,3,5,15,1,3,1,5,10,3,4,4,0.5,0,12.0,0.4,25,3,3,3,2,4,15,0.0,0.0,1.0,0.05,0,W010,DEVELOPMENT_SYNTHETIC
