workout_id,workout_start_time,workout_name,exercise_idx,exercise_title,muscle_group,equipment,set_index,set_type,weight_kg,reps,rpe,distance_meters,duration_seconds
Workout_001,2024-01-01 00:00:00,Leg,1,Warm Up,full_body,none,1,normal,,,,,180.0
Workout_001,2024-01-01 00:00:00,Leg,2,Leg Extension (Machine),quadriceps,machine,1,normal,15.0,20.0,,,
Workout_001,2024-01-01 00:00:00,Leg,2,Leg Extension (Machine),quadriceps,machine,2,normal,15.0,20.0,,,
Workout_001,2024-01-01 00:00:00,Leg,2,Leg Extension (Machine),quadriceps,machine,3,normal,15.0,20.0,,,
Workout_001,2024-01-01 00:00:00,Leg,3,Standing Leg Curls,hamstrings,machine,1,normal,0.0,15.0,,,
Workout_001,2024-01-01 00:00:00,Leg,3,Standing Leg Curls,hamstrings,machine,2,normal,0.0,15.0,,,
Workout_001,2024-01-01 00:00:00,Leg,3,Standing Leg Curls,hamstrings,machine,3,normal,0.0,15.0,,,
Workout_001,2024-01-01 00:00:00,Leg,4,Front Squat,quadriceps,barbell,1,normal,0.0,15.0,,,
Workout_001,2024-01-01 00:00:00,Leg,4,Front Squat,quadriceps,barbell,2,normal,7.5,15.0,,,
Workout_001,2024-01-01 00:00:00,Leg,4,Front Squat,quadriceps,barbell,3,normal,7.5,15.0,,,
Workout_001,2024-01-01 00:00:00,Leg,5,Lying Leg Curl (Machine),hamstrings,machine,1,normal,14.0,15.0,,,
Workout_001,2024-01-01 00:00:00,Leg,5,Lying Leg Curl (Machine),hamstrings,machine,2,normal,14.0,15.0,,,
Workout_001,2024-01-01 00:00:00,Leg,5,Lying Leg Curl (Machine),hamstrings,machine,3,normal,14.0,15.0,,,
Workout_001,2024-01-01 00:00:00,Leg,6,Walking Lunge,quadriceps,none,1,normal,,25.0,,,
Workout_001,2024-01-01 00:00:00,Leg,6,Walking Lunge,quadriceps,none,2,normal,,22.0,,,
Workout_001,2024-01-01 00:00:00,Leg,6,Walking Lunge,quadriceps,none,3,normal,,23.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,1,Warm Up,full_body,none,1,normal,,,,,258.0
Workout_002,2024-01-01 23:57:32,Shoulders,2,Standing Military Press (Barbell),shoulders,barbell,1,normal,2.5,20.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,2,Standing Military Press (Barbell),shoulders,barbell,2,normal,2.5,20.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,2,Standing Military Press (Barbell),shoulders,barbell,3,normal,2.5,15.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,3,Overhead Press (Barbell),shoulders,barbell,1,normal,2.5,15.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,3,Overhead Press (Barbell),shoulders,barbell,2,normal,2.5,15.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,3,Overhead Press (Barbell),shoulders,barbell,3,normal,2.5,15.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,4,Lateral Raise (Dumbbell),shoulders,dumbbell,1,normal,2.5,20.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,4,Lateral Raise (Dumbbell),shoulders,dumbbell,2,normal,2.5,20.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,4,Lateral Raise (Dumbbell),shoulders,dumbbell,3,normal,2.5,20.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,5,Upright Row (Barbell),shoulders,barbell,1,normal,2.5,20.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,5,Upright Row (Barbell),shoulders,barbell,2,normal,2.5,20.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,5,Upright Row (Barbell),shoulders,barbell,3,normal,2.5,20.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,6,Shoulder Press (Dumbbell),shoulders,dumbbell,1,normal,5.0,15.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,6,Shoulder Press (Dumbbell),shoulders,dumbbell,2,normal,5.0,15.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,6,Shoulder Press (Dumbbell),shoulders,dumbbell,3,normal,5.0,20.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,7,Seated Wrist Extension (Barbell),forearms,barbell,1,normal,14.0,15.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,7,Seated Wrist Extension (Barbell),forearms,barbell,2,normal,14.0,15.0,,,
Workout_002,2024-01-01 23:57:32,Shoulders,7,Seated Wrist Extension (Barbell),forearms,barbell,3,normal,14.0,15.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,1,Warm Up,full_body,none,1,normal,,,,,295.0
Workout_003,2024-01-03 00:02:38,Shoulders 💪,2,Lat Pulldown (Cable),lats,machine,1,normal,28.0,15.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,2,Lat Pulldown (Cable),lats,machine,2,normal,28.0,10.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,2,Lat Pulldown (Cable),lats,machine,3,normal,28.0,10.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,3,Shoulder Press (Dumbbell),shoulders,dumbbell,1,normal,5.0,15.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,3,Shoulder Press (Dumbbell),shoulders,dumbbell,2,normal,5.0,20.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,3,Shoulder Press (Dumbbell),shoulders,dumbbell,3,normal,5.0,20.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,4,Upright Row (Dumbbell),shoulders,dumbbell,1,normal,5.0,20.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,4,Upright Row (Dumbbell),shoulders,dumbbell,2,normal,5.0,20.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,4,Upright Row (Dumbbell),shoulders,dumbbell,3,normal,5.0,20.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,5,Shoulder Press (Machine Plates),shoulders,machine,1,normal,7.5,20.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,5,Shoulder Press (Machine Plates),shoulders,machine,2,normal,7.5,20.0,,,
Workout_003,2024-01-03 00:02:38,Shoulders 💪,5,Shoulder Press (Machine Plates),shoulders,machine,3,normal,7.5,15.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,1,Warm Up,full_body,none,1,normal,,,,,420.0
Workout_004,2024-01-03 23:47:27,Legs 🦵,2,Squat (Dumbbell),quadriceps,dumbbell,1,normal,10.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,2,Squat (Dumbbell),quadriceps,dumbbell,2,normal,10.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,2,Squat (Dumbbell),quadriceps,dumbbell,3,normal,10.0,15.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,3,Deadlift (Smith Machine),glutes,machine,1,normal,20.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,3,Deadlift (Smith Machine),glutes,machine,2,normal,20.0,15.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,3,Deadlift (Smith Machine),glutes,machine,3,normal,20.0,15.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,4,Standing Leg Curls,calves,other,1,normal,5.0,20.0,,,
Workout_004,2024-01-03 23:47:27,Legs 🦵,4,Standing Leg Curls,calves,other,2,normal,5.0,20.0,,,
